periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,() of pregnant women adolescents (10-19 years),adolescent pregnancy,estimated post abortion,prop of monthly anc visit by preg adolescent,adolescents (10-14 years) with  pregnancy,adolescent family planning uptake 10-14 yrs,adolescent family planning uptake 15-19 yrs,adolescents (15-19 years) with  pregnancy
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Ndhiwa Sub County,Kanyikela Ward,JY7Gu5x4aGH,Kanyikela Ward,KE_Ward_1247,,40.6,43,0,23,4,8,24,39
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kitui County,Kitui South Sub County,Kanziku Ward,zNPxEQ4AIcH,Kanziku Ward,KE_Ward_369,,29.7,19,0,10.3,,,11,19
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Elgeyo Marakwet County,Keiyo North Sub County,Kapchemutwa Ward,XMy3sTrrhew,Kapchemutwa Ward,KE_Ward_744,,19.6,69,0,10.6,,3,37,69
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,West Pokot County,Pokot North Sub County,Kapchok Ward,AXu2vRnnxOt,Kapchok Ward,KE_Ward_654,,15.2,15,,6.3,,25,3,15
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Nandi Hills Sub County,Kapchorua Ward,kVHX5gVg5MQ,Kapchorua Ward,KE_Ward_764,,48.8,20,,35.1,,2,53,20
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Turkana County,Turkana East Sub County,Kapedo/Napeitom Ward,prqcH9XZcQe,Kapedo/Napeitom Ward,KE_Ward_638,,72.7,16,0,44.4,5,5,20,11
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,West Pokot County,West Pokot Sub County,Kapenguria Ward,sXlDThMXKIG,Kapenguria Ward,KE_Ward_642,,37.5,205,0,15.9,2,152,21,203
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Emgwen Sub County,Kapkangani Ward,deAxq0HNUFb,Kapkangani Ward,KE_Ward_771,,32.2,39,0,10.2,,45,46,39
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Bungoma County,Cheptais Sub County,Kapkateny Ward,WIQaiUzKu6p,Kapkateny Ward,KE_Ward_1079,,26.7,48,0,12.2,,,8,48
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,t6j6TDZfwrc,Kapkatet Ward,KE_Ward_956,,32.6,112,0,80.6,1,,20,111
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Ainamoi Sub County,Kapkugerwet Ward,D2NqKgPvDTJ,Kapkugerwet Ward,KE_Ward_946,,34.5,39,0,13.9,1,,6,38
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nakuru County,Nakuru West Sub County,Kapkures Ward,pZuA4cJd4bl,Kapkures Ward,KE_Ward_873,,39.8,74,0,13.6,14,,7,60
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Uasin Gishu County,Soy Sub County,Kapkures Ward,cSNEKHwtiWH,Kapkures Ward,KE_Ward_702,,83.9,73,,46.2,34,,32,39
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Trans Nzoia County,Cherangany Sub County,Kaplamai Ward,wCRljUGZJCA,Kaplamai Ward,KE_Ward_696,,24.8,37,,15.2,7,,23,30
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Sigowet/Soin Sub County,Kaplelartet Ward,pPJvbpIWpvb,Kaplelartet Ward,KE_Ward_963,,32.8,38,0,15.3,,3,41,38
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Bomet County,Sotik Sub County,Kapletundo Ward,G6aklDidwGe,Kapletundo Ward,KE_Ward_969,,34.8,70,0,15.2,2,74,63,68
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Trans Nzoia County,Kwanza Sub County,Kapomboi Ward,zkVfk8cWPc2,Kapomboi Ward,KE_Ward_676,,37.7,132,0,21.4,,,230,132
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Baringo County,Baringo Central Sub County,Kapropita Ward,er24ckvh14d,Kapropita Ward,KE_Ward_797,,50,6,0,24,,,2,6
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Emgwen Sub County,Kapsabet Ward,VjsUVNylWoY,Kapsabet Ward,KE_Ward_772,,18.8,104,,15.2,2,270,30,102
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Ainamoi Sub County,Kapsaos Ward,V4rpRD8L2PY,Kapsaos Ward,KE_Ward_712,,39,23,0,14.8,1,,10,22
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Uasin Gishu County,Turbo Sub County,Kapsaos Ward,Itj44Rse7au,Kapsaos Ward,KE_Ward_949,,32.8,20,,12.7,,6,87,20
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Narok County,Transmara East Sub County,Kapsasian Ward,D9H082cdWsj,Kapsasian Ward,KE_Ward_890,,55.4,92,,23.5,,,33,92
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Tinderet Sub County,Kapsimwotwo Ward,omJY4Wxjhwr,Kapsimwotwo Ward,KE_Ward_754,,47.1,8,0,20.5,,6,,8
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Ainamoi Sub County,Kapsoit Ward,oNPVt1oUD8L,Kapsoit Ward,KE_Ward_944,,14.7,5,0,6.4,,,2,5
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Elgeyo Marakwet County,Marakwet West Sub County,Kapsowar Ward,bxngHzifzKY,Kapsowar Ward,KE_Ward_739,,32.1,72,,13.7,,1,3,72
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,H9e1tEercdW,Kapsoya Ward,KE_Ward_719,,12.3,159,,3.6,23,1,126,136
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kericho County,Belgut Sub County,Kapsuser Ward,t50eEX07TcG,Kapsuser Ward,KE_Ward_961,,23.1,6,,8.1,,35,31,6
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Uasin Gishu County,Ainabkoi Sub County,Kaptagat Ward,cYwuj1W0Wux,Kaptagat Ward,KE_Ward_720,,27.9,43,,7.4,,,27,43
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Bungoma County,Mt Elgon Sub County,Kaptama Ward,X2TaEHQHj6z,Kaptama Ward,KE_Ward_1080,,27.3,53,0,9.2,3,1,65,50
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Elgeyo Marakwet County,Keiyo South Sub County,Kaptarakwa Ward,elLT94gpbch,Kaptarakwa Ward,KE_Ward_745,,20.9,9,,10.1,,,2,9
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Chesumei Sub County,Kaptel/Kamoiywo Ward,i590M8uyKeM,Kaptel/Kamoiywo Ward,KE_Ward_768,,50.6,39,,11.9,33,17,20,6
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,q6DoWWo1dCR,Kaptembwo Ward,KE_Ward_872,,12.8,19,0,3.1,2,1,37,17
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nandi County,Aldai Sub County,Kaptumo/Kaboi Ward,qj48MUGxhs9,Kaptumo/Kaboi Ward,KE_Ward_759,,43.2,76,0,15.1,1,,32,75
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kajiado County,Kajiado East Sub County,Kaputiei North Ward,BQ7G5kGe1Cv,Kaputiei North Ward,KE_Ward_921,,27.9,104,,9,45,,18,59
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Turkana County,Turkana South Sub County,Kaputir Ward,AR58QjsFekn,Kaputir Ward,KE_Ward_633,,36.7,36,0,15.2,,,8,36
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Elgeyo Marakwet County,Marakwet East Sub County,Kapyego Ward,SNs5tEDSO0k,Kapyego Ward,KE_Ward_731,,58.9,56,0,29.8,,,12,56
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kiambu County,Kikuyu Sub County,Karai Ward,rdJwRuqqUHC,Karai Ward,KE_Ward_596,,216.7,13,,24.5,1,,5,12
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Meru County,Tigania East Sub County,Karama Ward,HuKVPCdKkZ0,Karama Ward,KE_Ward_275,,30.7,27,,15.5,,,5,27
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Marsabit County,Saku Sub County,Karare Ward,MhwOKHDNTsU,Karare Ward,KE_Ward_234,,27.9,12,0,7.4,8,,,4
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nyeri County,Mathira East Sub County,Karatina Town Ward,oCDeWaZZImt,Karatina Town Ward,KE_Ward_482,,1.3,6,0,0.44,,,42,6
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nyandarua County,Olkalou Sub County,Karau Ward,b7xmixlTNYm,Karau Ward,KE_Ward_453,,22.7,10,,7.2,,,10,10
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Langata Sub County,Karen Ward,clyAqa9XVNp,Karen Ward,KE_Ward_1381,,13.1,40,,35.4,,,13,40
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Marsabit County,Laisamis Sub County,Kargi/South Horr Ward,RaSqiM3lgfo,Kargi/South Horr Ward,KE_Ward_237,,0,0,0,0,,,,
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Muranga County,Gatanga Sub County,Kariara Ward,F0uYRw2XYg5,Kariara Ward,KE_Ward_550,,42.1,67,0,26.8,,1,59,67
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nyeri County,Nyeri South Sub County,Karima Ward,jrWulcAQIzP,Karima Ward,KE_Ward_486,,4.3,1,,1.3,,,,1
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,UQd8QPTpVD0,Karingani Ward,KE_Ward_302,,10.9,37,,4.3,,38,8,37
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Embakasi North Sub County,Kariobangi North Ward,YMBLUc2euxC,Kariobangi North Ward,KE_Ward_1411,,24.4,107,0,7.8,22,,20,85
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Embakasi West Sub County,Kariobangi South Ward,WJ020FJI9yB,Kariobangi South Ward,KE_Ward_1429,,16.3,38,,6.3,1,,2,37
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kirinyaga County,Kirinyaga West Sub County,Kariti Ward,LAhI3yCEdB1,Kariti Ward,KE_Ward_511,,40.8,51,0,10.9,,,26,51
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kirinyaga County,Kirinyaga East Sub County,Karumandi Ward,jlthZ0Rz41H,Karumandi Ward,KE_Ward_508,,0,0,0,0,,,3,
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Uasin Gishu County,Moiben Sub County,Karuna/Meibeki Ward,AwwBKeGhmam,Karuna/Meibeki Ward,KE_Ward_716,,40.6,26,0,26.5,3,4,21,23
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Westlands Sub County,Karura Ward,CNKaaMOOKGn,Karura Ward,KE_Ward_1368,,10.5,33,,4.5,11,,45,22
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kiambu County,Kiambaa Sub County,Karuri Ward,eCWu3IedbJm,Karuri Ward,KE_Ward_587,,20.9,58,,7.1,,,4,58
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Kasarani Sub County,Kasarani Ward,eVnnqyuwBfa,Kasarani Ward,KE_Ward_1398,,14.4,68,,5.7,12,50,53,56
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,West Pokot County,Pokot North Sub County,Kasei Ward,WbEoZcJapjw,Kasei Ward,KE_Ward_653,,36.5,31,,11.6,7,,4,24
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kwale County,Kinango Sub County,Kasemeni Ward,aom47Uzq1RZ,Kasemeni Ward,KE_Ward_50,,56.8,189,,,,,66,189
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Mbita Sub County,Kasgunga Ward,eX9fqY9KVU8,Kasgunga Ward,KE_Ward_1254,,41.4,118,0,13.1,7,8,117,111
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Taita Taveta County,Voi Sub County,Kasigau Ward,kMQqsjpcUFH,Kasigau Ward,KE_Ward_129,,41.9,31,,10.9,5,,4,26
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Makueni County,Kilome Sub County,Kasikeu Ward,GzIJxIa88Fg,Kasikeu Ward,KE_Ward_417,,33,123,0,26.1,2,,16,121
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Yatta Sub County,Katangi Ward,w0RAITw1HWe,Katangi Ward,KE_Ward_380,,25.7,45,0,10.9,4,2,22,41
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Kathiani Sub County,Kathiani Central Ward,vviGMt93opf,Kathiani Central Ward,KE_Ward_391,,45.2,42,,20.7,,,17,42
